,tool,mode,iterations,mean,std
0,prism_sr,perf,4132,8.903861999511719,9.756729922754164e-06
0,prism_sr,perf,16681,10.299319585164389,4.819175498423568e-05
0,prism_sr,dbg,42292,11.229553858439127,6.316527686720745e-05
0,verrou_cestac,dbg,2056,8.205996831258139,8.541761298207856e-06
0,cadna,dbg,33516,10.996838599999998,0.00031808694828057817
0,verrou_cestac,perf,16681,10.299284934997559,7.140467280324891e-05
0,baseline_float,dbg,151991,12.508068084716797,0.0
0,verrou_sr,perf,29836,10.880717913309732,2.7434602114857253e-05
0,prism_ud,perf,8302,9.60157299041748,3.415521244955265e-05
0,prism_ud,dbg,613590,13.90709654490153,0.0005694334604197582
0,prism_ud,perf,3678,8.787448565165201,1.9580667615807207e-05
0,verificarlo,perf,53366,11.46224562327067,2.657009594468036e-05
0,baseline_float,perf,178,5.761806011199951,0.0
0,baseline_double,dbg,1830,8.089560508728027,0.0
0,verificarlo,dbg,8302,9.601527214050293,3.188753795108888e-05
0,prism_ud,perf,722,7.15993611017863,4.6449150073377155e-06
0,cadna,dbg,170735,12.624849366666666,0.0016090858073934437
0,cadna,perf,1232846,14.598539733333332,0.011674260965998166
0,prism_ud,dbg,977009,14.336054166158041,0.00023986926077197533
0,verificarlo,perf,23644,10.648174921671549,7.710948152026409e-05
0,prism_ud,dbg,2915,8.5550324122111,2.8122165113571767e-05
0,baseline_double,perf,59948,11.57845687866211,0.0
0,sr,perf,1097498,14.48597240447998,0.00013495081292197212
0,prism_ud,perf,1097498,14.450001080830893,0.0008341553734163224
0,prism_sr,dbg,13219,10.06664244333903,1.0910671425965953e-05
0,verificarlo,dbg,42292,11.229572931925455,2.1527611991039293e-05
0,verrou_cestac,dbg,811,7.276105880737305,6.432884961715718e-06
0,cadna,dbg,284,6.227955823333333,1.4040259573570886e-06
0,baseline_float,perf,6280291,15.403682708740234,0.0
0,verificarlo,dbg,1149,7.624303817749023,8.670922404598144e-06
0,verificarlo,dbg,120450,12.276287714640299,0.00013639283976806554
0,baseline_double,perf,135304,12.392498970031738,0.0
0,baseline_double,perf,178,5.761805534362793,0.0
0,prism_ud,dbg,1232846,14.579304695129395,0.0007054642054128293
0,sr,dbg,3678,8.787480990091959,1.5065505486898786e-05
0,verrou_sr,dbg,59948,11.578462600708008,7.14980178310213e-05
0,cadna,perf,37649,11.113145233333334,0.00034945256552967646
0,baseline_float,perf,2595,8.438754081726074,0.0
0,baseline_float,dbg,13219,10.066675186157227,0.0
0,sr,dbg,151991,12.508689562479654,6.011595233362075e-05
0,verificarlo,dbg,100,5.187375704447429,5.947204250930057e-07
0,sr,dbg,4641,9.020000775655111,3.1469646888134213e-06
0,baseline_float,dbg,242012,12.974506378173828,0.0
0,prism_sr,dbg,1963040,15.067246437072754,0.0001858613132492595
0,baseline_float,perf,3678,8.787481307983398,0.0
0,prism_ud,dbg,159,5.649264494578044,1.9205484348288495e-06
0,verrou_sr,dbg,642,7.042582829793294,1.3673027780918482e-06
0,baseline_double,dbg,126,5.4174604415893555,0.0
0,baseline_double,perf,112,5.300172328948975,0.0
0,baseline_float,perf,613590,13.907347679138184,0.0
0,prism_sr,perf,1830,8.089564323425293,9.941416277002901e-06
0,sr,dbg,10476,9.834085782368978,2.503079692208548e-06
0,sr,perf,5590810,16.11375681559245,6.391436443004452e-05
0,verrou_cestac,dbg,432876,13.549657821655273,0.0003958587098019595
0,sr,perf,319,6.343974272410075,1.6209346496559095e-06
